text,true_label,pred_label
you take the grey skies out of my wayyou make the sun shine brighter than doris dayturned a bright spark into a flamemy beats per minute never been the samecause youre my lady im your foolit makes me crazy when you act so cruelcome on baby lets not fightwell go dancing everything will be all rightwake me up before you gogo dont leave me hanging on like a yoyowake me up before you gogoi dont want to miss it when you hit that highwake me up before you gogocause im not plannin on going solowake me up before you gogotake me dancing tonighti wanna hit that high yeah yeah babyjitterbugjitterbugcuddle up baby move in tightwell go dancing tomorrow nightits cold out there but its warm in bedthey can dance well stay home insteadjitterbugwake me up before you gogo dont leave me hanging on like a yoyowake me up before you gogoi dont want to miss it when you hit that highwake me up before you gogocause im not plannin on going solowake me up before you gogotake me dancing tonightwake me up before you gogo dont you dare to leave me hanging on like ayoyotake me dancingboomboomboomintro tpain yeah uhhuh yeah yeah verse 1 tpain broke up with my girl last night so i went to the club so i went to the club put on a fresh white suit and a minicoupe sitting on dubs sitting on dubs im just looking for somebody to talk to and show me some love show me some love if you know what i mean uhhuh everybody jockin me as soon as i stepped in the spot i stepped in the spot 200 bitches and i bet aint none of them hot aint none of them hot cept for this pretty young thang that was workin all the way at the top all the way at the top shawty what is your name hook 1 tpain oooo she made us drinks to drink we drunk em got drunk and then i think she thinks im cool she gave me a wink i winked back and then i think that we headed out something proper like chorus tpain i like the bartender oooo if youre lookin for meim at the bar with her uhhuh ok i like the bartender yeah if youre lookin for me im at the bar with her oooooh uhhuh ok verse 2 tpain got a brand new girl so im feeling all good inside all good inside feel like i put some brand new 24s on a brand new ride on a brand new ride triple shot of patron on the rocks with a little bit a lime with a little bit a lime im just keeping it real uhhuh baby still working at the club so im getting in free so im getting in free wednesday night im on the list tpain plus 3 tpain plus 3 everytime i hit the spot baby girl taking care of me taking care of me how do you think i feel hook 2 tpain oooo she made us drinks to drink we drunk em got drunk and now i know she thinks im cool she gave me a wink i winked back and then i think that we gon have fun at my spot tonight chorus tpain i like the the bartender oooo if youre lookin for me im at the bar with her uhhuh ok i like the bartender yeah if youre lookin for me im at the bar with her oooooh uhhuh ok verse 3 akon shorty im sure you heard that i rarly never come out never come out unless im in the m6 doing tricks freeway burnt out freeway burnt out got a passenger side thats empty wanting it to be your spot be your spot but you on my billboard we can act like the charts gon end up on top end up on top dont smoke dont drink thats why i dont be by the bar baby baby just lookin at you from a distance looking like a god damn star baby baby so my girl dont see me tpain can i get those keys to the car those keys to the car bout to go and bang bang boogie with my cutie and ill see you tomar see you tomar hook 3 tpain akon oooo she made us drinks to drink we drunk em got drunk and now i know she thinks im cool she gave me a wink i winked back uhhuh and then i think that uhhuh we gon have fun at my spot tonight chorus tpain i like the bartender oooo if youre lookin for me im at the bar with her uhhuh ok i like the bartender new,1,0
jzgwrong is still wrong the circumstances dont matter you wont be punished though because you are part of the admin of this site now you need to grow up you fucking loser i just called it how i saw it it is a suicide and she will burn in hell for it also you will never get rid of me you and your deviant family have now become my personal project im working on a website about your sister as we speak so everyone will know all about what a stupid cunt she was and why it is good that she is now a festering corpse in the ground it can only be hoped that the rest of your family will follow shortly after so your defective genes will no longer contaminate the gene pool heres hoping that the terrorists make a stop in your hometown soon it would not be a big loss i have a right to leave entries on someones talk page he is welcome to respond but my discussion should not be removed,1,0
oh sorry you are just a crazy luntatic fan then my mistake glad you left it up and decided to stop being a baby aout the whole thing oh and i am not shocker toys but do live in niagara falls you must be good with ips,1,0
you are not invited never come back to my talk you are harassing,0,1
i still operate in that bizarre subset of the world where actions speak stronger than words deleting content is the work of a true asshole calling someone an asshole in a talk page is just an observation further 99 of wikipedia lacks citation and is not encyclopedic saying that it is not relevant to the article is grand but you yourself admitted that there would be an article where it would be appropriate therefore move it to that article or accept the status quo you dont go around deleting stuff just because youre too lazy to do what you have already admitted the right thing is unless you are you guessed it an asshole,0,1
ugly cat that is one ugly cat elc concerning but in reality you are a disgrace to the people who have been here a lot longer then you you have no respect for the great spirit you have no respect for living things you have no respect for the people you call your own and they have no respect for you why dont you come out and tell the people here that you are a cop also no selfrespecting indian would be a people hating commie comrade,0,1
ojibwe is different than delaware range block this you morons,0,1
youre famous it looks like youve finally gotten the recognition you deserve you inbred little kite,1,0
please refrain from unmaking unconstructive edits to wikipedia as you did at tim pawlenty your edits appear to constitute whitewashing and have been reverted or removed if you would like to experiment please use the litterbox thank youyoure a dirtmuffling little suck turd with no tosh0 to guzzle down tonight fuck off,0,1
so you think you know better than the admin are you excusing all of the above are you ignoring all of his breaks on the mediation do you not remember your reaction when i changed bomber to volunteer you seem very quite of this do you not think that is total hypocritical,0,1
how many free images have you scanned what is your new user name bbbbbastard,0,1
personal attackoh do you know portuguese on what grounds you realised that it is a personal attack which sentensehowever if you dont know portuguese keep your mouth shut,0,1
because i killed them,0,1
youre really good at this but did you know when you reverted my vandalism over at charydibibidis you just reverted it back to other types of vandalism i guess morons like youtm take this crap too seriously and in the process loose the ability to detect between a legit page and bullcrap that will be deleted by an administrator whenever heshe sees it i guess thats all i can expect from a god warrior who thinks fema will lock you up in a concentration camp in 2012 9914217112,0,1
weeeahhhh zoe so you are here bob santanos is a freaky manvandal alert vandal alert hahahaheeeahhhhhhh,0,1
let me help you with ur little sock puppet investigation i am useryourname and usertroller101 lol ur not going to stop me there you got im telling u who i am so stop wasting ur time preceding unsigned comment added by 19958164114 ill evern log in using this ip so you can checkuser 19958164114,1,0
your mouth says stop but your eyes say keep goooing,1,0
edit this again and i will hack your computer destroy your c drive and then trace your ip address to find where you live,0,1
you obviously didnt read what they are writing or youre just someone who doesnt care im trying to work within the policies and every time i turn around one of you jerkwads pulls another thing out of thin air because you dont make any of this crap findable in the first place and use it to beat people over the head for your own sick amusement apparently,1,0
that is not a insult that is a reality that link is a lint to a racist group and armenian grow up their children with racism they send their children to genocide camps and teach them how barbarian turks are making genocide if you dont believe me please ask an armenian user,0,1
oh please you are dying to adjudicate this case are you really the kind of guy who would let some bureaucratic regulation about template use get in the way if you do shii a favor you could even get a share of the loot it must be some japanese of korean nationalist paying it out if they have money to offer a lowly user like me there has got to be something in the budget for a monster admin like you go ahead and prove me wrong block hiriji88 he is definitely wpnothere he is a troll who goes around starting one argument after another mostly about meaningless bs,0,1
lol i edited your pageperhaps it is a good thing you are leaving then wikipedia does not need editors like you,1,0
sajus right you accused spinecleaver of being me no no my friend ask an admin to use an ip checker rather than out right banning him youve made a big mistake this is going down in the books foolhahahhaawliya preceding unsigned comment added by 8910833173,0,1
oh shut up you are just a stupid hateful liberal who cannot stand criticism of judaism david duke is not a member of the kkk is he grow up you mongrel for over 20 years he was a member of the republican party by what part of that do you not understand he is not a member of a terrorist organisation and never was his kkk was nonviolent but just a prowhites organisation against affirmative action and illegal immigration as he used it to patrol the americanmexican borders he left his kkk in 1980 which was the same time he left the democrats robert byrd was a member of a kkk why are you not smearing against him,0,1
why are you here harassing me you will be banned but if you keep harassing me it will be more than that support a longer block the editors comments up above were you abused as a child calling editors evil et al are not something that can be settled with a 31hour block suggest a week and 3 months from rfa ironholds talk support ironholds proposalcoldplay exprt lets talk strong support he is now making unjustified claims that he is in the right and all involved are in the wrong he simply does not see or admit that his behavior is not acceptable here arcangel talk supportthough ill be waiting in anticipation of my permanent ban once he becomes unblocked p treasurytagtellers wands how funny all these people are that talk crap about things they dont know a damn thing about i will have so much editing to do with all these new people attacking me for no reason yep,0,1
its not massive its just one line you idiot obviously everyone here has some serious comprehending things its just one line and its inaccurate if you dont know anything about the nature of the matter please dont revert other peoples edits find something useful to do,0,1
you cant kill the party soap you cant kill the party,0,1
they are perfectly civil they have no hidden meaning just just to other edit summaries that you dont list have no hidden meaning you are a disgusting and disgraceful example for an admin you have done this before and got away with it god knows how you are getting away with it again you make me sick,0,1
guessing youve heard it so i wanna know if you want some birthdaycakecakecakecakecakecakebirthdaycakecakecakecake because imma make you my bitch tonight hehe in all honesty that song is beyond ridik talk2me,0,1
let me break it down for yall murdering innocent men women and children in cold blood is evil and wth is up with operation cast lead weirdness,0,1
i think that what is evident is that most of these bots who are socalled moderators the ones who spend pretty much all day editing cleaningup restoring wiki entities are clearly sad cunts that is according to the majority you know the masses who are rational retain some sanity by being offline for a little while unlike sad cunts such as,0,1
bow to islam why do you call down the wraith of islam on this site remove the images or we teach you respect we know that if we keep up the pressure you will buckle because you are cowards and have no faith while we are guided by the hand preceding unsigned comment added by 8711366166,0,1
vandalism here cuntmould what the devil do you mean by vandalism are you suggesting that larne is in fact not a shitehole i challenge thee cur,0,1
jared loughner and the saphirwolf hypothesis dude loughner said that vocabulary was invented to control peoples minds thats exactly what the saphirwolf hypothesis says dont call me libelous irrelevant and unsourced jerk,0,1
al ameer son you yourself should be banned on your user page you endorse a dictator nasser of egypt who said once that israel should be burned to the ground and that all jews should be thrown to the sea shame on you this is becoming a joint arab venture i see and dont think for a moment that the administrators are that stupid and theyre not thank god,1,0
in between the rapes torture and murder i do think democracy is being shown to them by the few marines who can keep the dicks in their pants,0,1
album versions are notable because otherwise wikipedia would just have articles on singles which seems a bit stupid thanks,0,1
keep your propaganda away from this article you are just another internet troll,1,0
dont you just love idiots im working in transportsa government agency within south australia so it looks like the ip has cycled around again,0,1
you guys suckhappy valentines day userironholds lulu and olive sitting on the tree kissing,0,1
the tna fags need to stop buncha pussies,0,1
singing is one thing but you also need to show that youre a smart person and not some illiterate redneck from the south,0,1
well thats how life goes no one cares no one likes you but honestly as a white guy i find the picture of a black males semen on the face of a white woman just as offensive bitching about stereotypes is actually also a stereotype in itself have a nice day,0,1
neither shows suck even so comaring ts to kp is like robt jones to teenage robot hard desicionthey both really suck watch something worthwhile like family guy or king of the hillthat was really mean family guy and king of the hill are good shows but so is kp dont get hostile d one of the things that make the show unique is that it is a comedy aimed at more than just kids that doesnt revolve around a cliched loser main character in fact kp is the complete antithesis of a loser and so are her family and most of her friends even ron doesnt really fit the stereotype both fg and koth can be funny but there comes a point when you want a break from all those cynical shows that are all about laughing at someones ignorance and stupidity hey wait a second totally spies sucks kim possible was good but later jumped the shark it then became the worst show ever well not as bad as totally spies or futurama but got close also as for another comment above teenage robot was awful robot jones was way better and as for the final one king of the hill was great but family guy is unfunny it is better than futurama though futurama was the absolute worst thing ever madedont watch the new kp watch something good like king of the hill or shinigan down,0,1
unblocki said im sorryhow do u expect me to stop making accounts if u dont unblock meif u unblock meill stop making acountssimpleur the ones who are making something bad to worsestop making a big dealim not doing anything bad or violating anything nowso i dont get itwhy am i still blockedjust get over it alreadyi mean wellim not here do violate anythingim just trying to helpand can someone tell alexandria to unblockme alreadythis block is so fucking overratedcant u just forgive and forgetmove on peoplethere are other things to worry about than a stupid blockso unblock me and move onagaini come in peaceand i have a right to contribute to wikipediawhat happend in the past happendthe past is in the pastnow were the presentlets open a new page and start a new chapterstar freshokdeali promise i wont violate anythingall im asking is another chanceone last chance,0,1
do not ever send me a message again i will hunt you down and beat you,0,1
i am playing by the rules you need to breathe out mate how can a law suit be brought for defammation or libel when the word alleged is used and other such provisional language ok a case can be brought but having studied law myself the judge would not rule in the plaintiffs favour the plaintiffs legal rep would probably advise against bringing such a silly action in the first place if he brought a case on the basis of such ambiguous language lacking in positivity so stop overestimating and exagerrating the legal potential of this type of statement you worry too much it probably stems from ignorance of the facts in your case,0,1
where you at steve rep yo hood son do work billy motherfuckin mayes out,0,1
dude mind your own businessa friend of,0,1
skinned prick named olyeller got me banned he doesnt like it when people point out that he broke his promise finding 2 news articles from reliable and independent sources would shut me up if you do that ill make the text say annual myselfhttpenwikipediaorgwindexphptitletalkeverybodydrawmohammeddaydiffprevoldid425928499youre a lying piece of shit olyeller,1,0
ryan griffith i stink,0,1
mayormcgeez i find reasoning with this guy is totally pointless most of these bots have no friggen clue whats really going on out there in the real world preferring to keep things nice and sweet and portraying that everything is fine and dandy they like to throw around fancy terminology in their posts while waving their bullshit piece of paper that says theyre smart get a life,0,1
you fail at lifent 221220188146,0,1
fucked with the wrong muchacho 2119 july 23 2005 utc,0,1
you know mbk004 and postoak do you think i really care if you block my account no i dont i have access to more than one computers and i have more than one emails so to scare me by saying that you can block me doesnt work i cant believe i even wasted my time here arguing with the two of you geeks mbk004 maybe when you wrote i am a college student who is thought by many to have no life at all on your profile it is true after all when people ask what you do for a living and your response is oh im a sycop i edit wikipedia pages is that even a real job i wont be proud putting that job title on my resum also the car that you currently owned suits your profile better than the aston martin v8 vantage your centuriesold 1999 oldsmobile aurora fits for a geek like you sitting on your arse all day editing pages would give you a beer belly and no way you would look good in an aston martin promise and postoak you did delete the talk page before you put it in archive folder i also know you have a sockpuppet account of userrjn my advice for you two is get a real job and stop being a hypocrite,1,0
ok fine if wikipedia was meant as a soapbox for commies like that siebert guy then fuck it ill wait out the block and then go my own way start my own proamerican but hopefully nonpartisan wiki and take away half your audience and dont expect me to help out on the ref desk anytime soon 67170215166,0,1
lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so you reported me ahahahahahahahahahahahahahahahahahahaha lmao so,0,1
as far as disputive edits are concerned you idiot i didnt made any just made a request to delete the images keep your temper to yourselfthank you,1,0
im not fucking arguing for inclusion stringently usereric corbett i just said it was notable then i left it do you think your behaviour is wpcivil,0,1
darn darn keep this here and off my page or ill file another complaint im done he gone kabooooooom,0,1
2012 utc you expected more from a liberal rag like wakopedia which is 100 racist in itself69149753 2027 12 august,0,1
what to do with elitist assholes who do not allow anybody else to edit certain pages people such as alkivarwe must get rid of elitism wikipedia is a democracy for the contribution of ideas,0,1
regarding your passing because you willfully violate wikipedias copyright and because you intentionally publish libel i will arrange to have your life terminated,0,1
glad i dont read your bible you have a member of the kkk on your team way to go asswipe,0,1
i hope to god your kids are trapped inside burning cars,0,1
monkey monkey monkey monkey monkey preceding unsigned comment added by 2104312818,0,1
hello fuckhead wikipedia lover,0,1
we are just trying to protest the military government why is everyone so concerned about this damn page but not the people of myanmar,0,1
this guys is a joke as an admin you will have no luck with him he really should stop being an admin as he does the wikipedia community an injustice by staying in his position,0,1
current squad no fookin around with it alright,0,1
somebody change it within 24 hours please more info is put onto this page everyday it is a business that has breaking stories each and every day this is classed as vandalism i bet it was a tna fan they really suck,0,1
2007 utcyou love rubbing garys leg dont you 1252464211 0642 18 november,0,1
wowoh piss off mate get a life im just trying to see if people think these are good signings jesus christ,0,1
ewwwwwww its not tim dummy,0,1
no they are not because no matter what there going to hell also i think if they had large a large penises woman would be attracted to them,0,1
i hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ersi hate nl33ers,0,1
dude i would like a vandalism only account and a friend of mine thimks your gay ncrossman,0,1
hey loser you have too many edits in talk namespace and no edits in main article namespace if you continue to behave like this people might begin to think of you as of troll,0,1
there are zero reliable sources and i dont mean youtube and crawdaddy they are not reliable for this if theres a reliable source for the def leppard incident then include that in the article personally i cant stand danzig but thats irrelevant to producing an accurate article sourced reliably and not filled with seedy tabloid garbage you sound like someone with a bone to pick if you want gossip and sensational nonsense go read the sun otherwise nobody cares that danny lollipops deliberately provoked and then assaulted a singer backstage and then put the video online in hopes someone would listen to their awful band considering it was 5 years ago and nobody remembers the shitty band id say their ploy failed,0,1
no it wasnt whoever you are,1,0
women the ridiculous section on women claiming that many were forced into work for the first time and the war thus had an important part to play in the granting of votes for women should be removed i will write a new section when i have time but until then get rid of this outdated crap noone has seriously argued this since before the 1950s,0,1
rather than someone explain everything they have learneed in their 3 years of wikipedia law school how about anyone defend the outright abortion and spreading of ignorance of the current page disgusting i had thought people wanted to come here to spread knowledge instead they wish to rise to arbitrary positions of power and abuse that power to show how tough they are you have all conducted yourselves in a truly outrageous and shameful manner learn the rules of wikipedia how about you show that you actually care about the article not being less accurate than a piece of toilet paper with which i have just used to wipe my ass if this article was written by a speaker fluent in english i will eat my hat,0,1
abd is muslim scum the religion of terrorism,0,1
no one is vandalizing assholes so get it straight,0,1
cocksuckereskog is being reported to jimbo wales for blocking with no evidence same for deadlydragon abusinmg powers should be banned from wiki will complain to jw836756138,0,1
those estonians who we argue with are eated with selfhate they know that their grandfathers from the forest brothers and the ss were creeps and the fact that those creeps lost makes them even more selfhated they will say enything to reduce their shame somehow mvei,0,1
i didnt ask how often you jerk off a simpsons episode is where the mass of twitchy muscle is from 69158165129,0,1
cyberstalking since there is no way to deny being a sock puppet its easy for this nazi to go around putting proverbial yellow badge markings on me jlambertnandesukaehhehronz is cyberstalking me,0,1
are you a jew are you a jew dont take what i say out of context like you people do to reverend wright,1,0
also the interview where he claimed to be german he claimed to be german jew look it up to the idiot who keeps erasing my edit,0,1
anybody you were harrassing me,0,1
who died and made you boss huh,0,1
osli73 is an idiot he wants to deface srebrenica massacre article with already discredited serbian sources he wanted opinion moral equivalism of accused serbrun rape camp participant gen lewis mackenzie to be heard on srebrenica massacre article keep his srebrenica genocide denials for leftrevisionist websites they are not welcome here osli73 also wanted to include belgrades already discredited lies about 3000 serbs killed to be included in the article when they were already discussed and discredited i will not allow srebrenica massacre article to be poisoned by moral equivalism osli73 drop dead loser,0,1
help sirthe marxist christian sickos are back at it sir they have hijacked the antisemitism nazi mysticism hollow earth south carolina house of representatives and joe besser pages and the other three pages originally mentioned in the document i have attempted to revert them to their original states but have been attacked by the antisemitic proillegal immigrant marxist cabal and i dont think i can fight them anymore they have jimbo wales on their side i need help please revert these pages to get rid of the disgusting vomitinducing pov oriented marxist racist crap that exists now smarterchildthree outps what is your opinion on economics ps,0,1
im glad that the motherfuckers wife died fills me with immense pleasure to know such a bigot had to suffer terribly d d d d d d d d,0,1
stay away please do not write on my user talk page any more i find your pederast life style very upsetting and disgusting writing on my talk page about it causes me to vomit,0,1
russian bitches hands off the truth get out from ukraine get out from american wikipedia188231192218 ukrainian soldier,0,1
well our fine friend fountains has finally managed to write something more or less npov round 1900 wikipedia time matter of fact he was being a massive jerk to other editors and there does come a time when you have to say stop the bullshit now people had been asking nicely for years i think my work here may be done but ill check in now and again to make sure hes not turning the page back into edisontechcentercom,0,1
no abusing bots and stop being an idiotthe pedigree is mislabeled even in the definition given on the page its not a true facebuster so it should be listed on ddt i was nice and left it listed with a pointer on the facebuster page dont be a dumbfuck,0,1
2011 french open dont leave silly little messages on my talk page saying i havent explained myself and revert with sure they are please that is not an explanation so heard of pot kettle black gee anyway see talkpage,0,1
upskirtingi enjoy looking up womens skirts,0,1
hey cock im afraid them pictures of dalaman airport and bodrum airport are perfectly fine i took the photos myself whilst on holiday so stop making stuff up bent boy,0,1
typical coverup crap and they only bother to discuss it after their phony merge listing was removed for their lack of bothering to discuss,0,1
i hate lewis and clark,0,1
you know if you changed your handle to just whisper dung then you can be anal retentive with all of your own pages hahahhahhahahahahahahahahahahahahahahahahahahahahaha no thanks on the cookie fu 68352879,0,1
hello who are youi did not do anything to you also btw i see your ip address shows in your commentwhat did i dohow dare you be rude to me i dont say rude things to you why did you say i should go to jailyou know i just realized you are bwcny,0,1
unsolicited sounds as if sukecchi came to your son and told him he was gay in fact the relevant userbox sat in his userspace along with such uncontroversial personal information as his being male and what state he lives in its common on this site that editors declare facets of their individuality to build a sense of community that creates another incentive for us to be here and work on articles just as workers everywhere chat around the water cooler and companies tolerate some slacking off as long as the work gets done we have different standards on a volunteer site but indicating someone declaring his sexual orientation will make others feel turned on is creation of unnecessary drama t,0,1
the graceful slickis non other than an ungraceful dick8115349112,0,1
9 march 2006 utcwhat a complete crock by calling everyone under the age of 18 a child which the dictionary correctly defines as a human between the ages of infancy and puberty you can make everything even remotely sexual sound salacious and evil teenagers are insulted to be called children and if you start using terms like teenage sex and teenage sex with adults to describe problematical behavior by kids old enough to know better the poor little abused children angle is more difficult to sell maybe we should just go to the ultimate extreme and legally define everyone under 18 as a baby then all sex with minors could be poor little babies being abused and raped which would no doubt please the judith reismans john ashcrofts and david finkelhors of the world when such semantic games have to be employed to sell an agenda with disqualification of everyone holding a different perspective as perpetuating the abuse what you have is pseudoscience and flimflam and not unbiased reporting 2010,0,1
fu zaphod beeblebrox take ur towel and leave,1,0
